,precision,recall,f1-score,support
0,0.6707856047623343,0.9987912973408541,0.8025683915178331,7446.0
1,0.3076923076923077,0.0010946907498631637,0.00218161985274066,3654.0
accuracy,0.6703603603603604,0.6703603603603604,0.6703603603603604,0.6703603603603604
macro avg,0.489238956227321,0.49994299404535864,0.4023750056852869,11100.0
weighted avg,0.5512592166998228,0.6703603603603604,0.5390897191156486,11100.0
