,precision,recall,f1-score,support
0,0.6799908634079488,0.7996239591727102,0.7349709912356499,7446.0
1,0.363481228668942,0.23316912972085385,0.28409469823274425,3654.0
accuracy,0.6131531531531531,0.6131531531531531,0.6131531531531531,0.6131531531531531
macro avg,0.5217360460384454,0.5163965444467821,0.5095328447341971,11100.0
weighted avg,0.5757993133776488,0.6131531531531531,0.5865473899173961,11100.0
