,precision,recall,f1-score,support
0,0.6712464973334539,0.997313994090787,0.8024204441082716,7446.0
1,0.4594594594594595,0.004652435686918446,0.009211595773503115,3654.0
accuracy,0.6705405405405406,0.6705405405405406,0.6705405405405406,0.6705405405405406
macro avg,0.5653529783964567,0.5009832148888528,0.4058160199408874,11100.0
weighted avg,0.6015284940549336,0.6705405405405406,0.5413046664672586,11100.0
