,precision,recall,f1-score,support
0,0.6708108108108108,1.0,0.8029763830475575,7446.0
1,0.0,0.0,0.0,3654.0
accuracy,0.6708108108108108,0.6708108108108108,0.6708108108108108,0.6708108108108108
macro avg,0.3354054054054054,0.5,0.40148819152377874,11100.0
weighted avg,0.44998714390065747,0.6708108108108108,0.5386452385740642,11100.0
